001.png,15.94,0.684
002.png,13.65,0.567
003.png,16.09,0.626
004.png,13.22,0.658
005.png,14.96,0.711
006.png,15.36,0.724
007.png,15.58,0.618
008.png,13.28,0.580
009.png,14.35,0.640
010.png,15.85,0.712
011.png,14.51,0.674
012.png,13.76,0.632
013.png,13.47,0.651
014.png,13.57,0.705
015.png,14.90,0.727
016.png,14.29,0.670
017.png,12.46,0.617
018.png,12.49,0.575
019.png,12.55,0.623
020.png,15.03,0.709
021.png,11.66,0.577
022.png,16.15,0.691
023.png,13.94,0.657
024.png,15.17,0.739
025.png,14.67,0.688
026.png,11.68,0.537
027.png,16.20,0.806
028.png,15.92,0.790
029.png,17.42,0.784
030.png,15.36,0.678
031.png,14.43,0.685
032.png,13.41,0.623
033.png,16.18,0.709
034.png,12.91,0.577
035.png,13.13,0.609
036.png,13.47,0.660
037.png,16.53,0.788
038.png,13.19,0.585
039.png,12.43,0.579
040.png,12.47,0.606
041.png,14.18,0.635
042.png,16.26,0.808
043.png,12.72,0.579
044.png,16.68,0.790
045.png,15.51,0.767
046.png,13.03,0.546
047.png,12.47,0.670
048.png,12.81,0.645
049.png,16.56,0.809
050.png,14.37,0.570
051.png,12.67,0.614
052.png,14.47,0.762
053.png,12.59,0.587
054.png,14.62,0.734
055.png,15.03,0.784
056.png,12.61,0.593
057.png,15.30,0.762
058.png,15.31,0.700
059.png,13.12,0.606
060.png,14.20,0.662
061.png,14.65,0.707
062.png,13.64,0.617
063.png,12.21,0.592
064.png,15.37,0.745
065.png,13.83,0.605
066.png,13.63,0.628
067.png,13.41,0.595
068.png,13.19,0.653
069.png,14.09,0.693
070.png,13.39,0.520
071.png,13.29,0.616
072.png,13.56,0.608
073.png,13.48,0.602
074.png,12.12,0.512
075.png,15.84,0.671
076.png,14.08,0.604
077.png,16.56,0.805
078.png,14.99,0.653
079.png,16.09,0.726
080.png,15.24,0.712
081.png,14.95,0.683
082.png,13.43,0.600
083.png,15.35,0.588
084.png,14.84,0.579
085.png,14.79,0.629
086.png,15.95,0.678
087.png,15.34,0.698
088.png,13.29,0.637
089.png,14.43,0.636
090.png,12.11,0.559
091.png,12.24,0.588
092.png,14.89,0.623
093.png,14.08,0.541
094.png,16.43,0.693
095.png,13.64,0.653
096.png,16.64,0.796
097.png,15.95,0.666
098.png,15.96,0.728
099.png,14.85,0.680
100.png,14.40,0.700
101.png,13.87,0.616
102.png,14.73,0.649
103.png,14.59,0.738
