001.png,24.43,0.953
002.png,21.64,0.929
003.png,23.02,0.962
004.png,21.20,0.932
005.png,21.99,0.938
006.png,23.30,0.935
007.png,21.44,0.926
008.png,21.20,0.924
009.png,20.88,0.927
010.png,21.29,0.921
011.png,20.03,0.912
012.png,21.76,0.923
013.png,20.10,0.879
014.png,21.14,0.926
015.png,20.76,0.924
016.png,20.07,0.884
017.png,19.25,0.891
018.png,21.61,0.923
019.png,21.36,0.938
020.png,22.03,0.951
021.png,19.52,0.873
022.png,19.69,0.890
023.png,22.17,0.924
024.png,21.60,0.927
025.png,23.04,0.949
026.png,21.11,0.902
027.png,20.45,0.894
028.png,22.88,0.917
029.png,22.38,0.918
030.png,22.33,0.905
031.png,22.22,0.913
032.png,21.92,0.939
033.png,22.74,0.928
034.png,20.98,0.876
035.png,21.48,0.907
036.png,21.11,0.915
037.png,22.27,0.912
038.png,18.90,0.906
039.png,21.05,0.933
040.png,20.07,0.905
041.png,20.53,0.915
042.png,22.55,0.929
043.png,22.53,0.923
044.png,22.64,0.933
045.png,22.37,0.927
046.png,22.95,0.944
047.png,18.39,0.923
048.png,19.85,0.928
049.png,22.99,0.934
050.png,21.57,0.926
051.png,22.07,0.909
052.png,21.28,0.945
053.png,20.54,0.931
054.png,20.49,0.919
055.png,20.36,0.918
056.png,20.71,0.934
057.png,20.64,0.931
058.png,20.82,0.928
059.png,21.86,0.920
060.png,22.10,0.925
061.png,21.34,0.927
062.png,21.88,0.925
063.png,21.17,0.932
064.png,21.37,0.915
065.png,21.04,0.904
066.png,22.69,0.934
067.png,21.96,0.924
068.png,20.68,0.901
069.png,20.57,0.893
070.png,22.33,0.936
071.png,20.32,0.915
072.png,21.76,0.905
073.png,21.73,0.912
074.png,21.97,0.917
075.png,22.97,0.928
076.png,22.08,0.933
077.png,22.94,0.936
078.png,22.27,0.931
079.png,22.16,0.936
080.png,20.93,0.936
081.png,21.26,0.931
082.png,21.90,0.942
083.png,23.86,0.949
084.png,24.56,0.960
085.png,25.52,0.966
086.png,23.48,0.943
087.png,23.37,0.943
088.png,21.40,0.934
089.png,23.08,0.949
090.png,22.33,0.947
091.png,22.35,0.946
092.png,25.19,0.957
093.png,22.07,0.920
