001.png,16.10,0.704
002.png,15.12,0.654
003.png,15.39,0.616
004.png,15.87,0.771
005.png,17.93,0.822
006.png,15.37,0.741
007.png,15.62,0.630
008.png,14.30,0.644
009.png,15.14,0.678
010.png,15.30,0.694
011.png,13.72,0.642
012.png,15.19,0.737
013.png,15.17,0.744
014.png,17.02,0.849
015.png,18.83,0.796
016.png,15.22,0.676
017.png,16.43,0.781
018.png,13.85,0.667
019.png,13.16,0.705
020.png,15.73,0.797
021.png,14.98,0.735
022.png,15.61,0.650
023.png,12.73,0.550
024.png,16.28,0.790
025.png,16.32,0.710
026.png,13.86,0.666
027.png,16.67,0.781
028.png,15.41,0.738
029.png,16.76,0.739
030.png,15.45,0.656
031.png,15.88,0.738
032.png,14.37,0.701
033.png,14.83,0.659
034.png,13.57,0.603
035.png,14.11,0.670
036.png,15.07,0.702
037.png,16.05,0.750
038.png,14.76,0.664
039.png,13.22,0.635
040.png,13.68,0.683
041.png,16.76,0.750
042.png,15.74,0.730
043.png,13.38,0.623
044.png,15.92,0.742
045.png,15.15,0.716
046.png,12.25,0.458
047.png,15.46,0.749
048.png,14.59,0.733
049.png,18.06,0.849
050.png,14.15,0.554
051.png,13.57,0.693
